hri_value,max_temp_celsius,min_temp_celsius,feat_poverty_rate,feat_unemployment_rate,feat_median_hh_income,feat_total_population,overall_homeless,unsheltered_homeless
42,30.6,7.2,0.127143061,0.061154306,71354.25,50970442,67013,26627
25,20,-3.2,0.123822999,0.064024887,75925.25,51047292,49612,15618
19,25.6,-3.8,0.123822999,0.064024887,75925.25,51047292,49612,15618
23,23.9,-4.9,0.123822999,0.064024887,75925.25,51047292,49612,15618
25,26.7,-7.1,0.123822999,0.064024887,75925.25,51047292,49612,15618
25,21.1,-6.6,0.123822999,0.064024887,75925.25,51047292,49612,15618
26,17.2,-6.6,0.123822999,0.064024887,75925.25,51047292,49612,15618
70,32.8,6.1,0.123822999,0.064024887,75925.25,51047292,49612,15618
64,31.1,5.6,0.123822999,0.064024887,75925.25,51047292,49612,15618
30,28.3,-1,0.123822999,0.064024887,75925.25,51047292,49612,15618
35,31.1,2.2,0.123822999,0.064024887,75925.25,51047292,49612,15618
51,28.3,2.8,0.123822999,0.064024887,75925.25,51047292,49612,15618
36,30,-3.2,0.123822999,0.064024887,75925.25,51047292,49612,15618
37,32.2,2.8,0.123822999,0.064024887,75925.25,51047292,49612,15618
35,29.4,1.7,0.123822999,0.064024887,75925.25,51047292,49612,15618
29,30.6,-2.1,0.123822999,0.064024887,75925.25,51047292,49612,15618
27,30,-4.3,0.123822999,0.064024887,75925.25,51047292,49612,15618
28,30,-6.6,0.123822999,0.064024887,75925.25,51047292,49612,15618
23,20.6,-10.5,0.123822999,0.064024887,75925.25,51047292,49612,15618
22,23.3,-7.7,0.123822999,0.064024887,75925.25,51047292,49612,15618
47,30.6,5.6,0.123822999,0.064024887,75925.25,51047292,49612,15618
13,25,-3.2,0.123822999,0.064024887,75925.25,51047292,49612,15618
15,26.1,-2.1,0.123822999,0.064024887,75925.25,51047292,49612,15618
11,27.8,-2.7,0.123822999,0.064024887,75925.25,51047292,49612,15618
9,25.6,-2.7,0.123822999,0.064024887,75925.25,51047292,49612,15618
9,24.4,-5.5,0.123822999,0.064024887,75925.25,51047292,49612,15618
12,26.1,-2.7,0.123822999,0.064024887,75925.25,51047292,49612,15618
13,26.1,-0.5,0.123822999,0.064024887,75925.25,51047292,49612,15618
10,23.9,-1.6,0.123822999,0.064024887,75925.25,51047292,49612,15618
17,29.4,1.7,0.123822999,0.064024887,75925.25,51047292,49612,15618
20,30,3.9,0.123822999,0.064024887,75925.25,51047292,49612,15618
50,31.1,7.8,0.123822999,0.064024887,75925.25,51047292,49612,15618
46,30.6,15,0.123822999,0.064024887,75925.25,51047292,49612,15618
48,31.1,8.3,0.123822999,0.064024887,75925.25,51047292,49612,15618
55,32.2,8.3,0.123822999,0.064024887,75925.25,51047292,49612,15618
71,32.2,16.1,0.123822999,0.064024887,75925.25,51047292,49612,15618
85,33.3,12.2,0.123822999,0.064024887,75925.25,51047292,49612,15618
110,33.9,13.9,0.123822999,0.064024887,75925.25,51047292,49612,15618
222,35.6,19.4,0.123822999,0.064024887,75925.25,51047292,49612,15618
165,34.4,18.3,0.123822999,0.064024887,75925.25,51047292,49612,15618
254,35,19.4,0.123822999,0.064024887,75925.25,51047292,49612,15618
134,35,16.7,0.123822999,0.064024887,75925.25,51047292,49612,15618
335,36.7,18.3,0.123822999,0.064024887,75925.25,51047292,49612,15618
186,33.9,17.8,0.123822999,0.064024887,75925.25,51047292,49612,15618
188,33.9,20,0.123822999,0.064024887,75925.25,51047292,49612,15618
177,33.9,15,0.123822999,0.064024887,75925.25,51047292,49612,15618
187,33.3,12.8,0.123822999,0.064024887,75925.25,51047292,49612,15618
143,33.3,11.1,0.123822999,0.064024887,75925.25,51047292,49612,15618
206,35.6,14.4,0.123822999,0.064024887,75925.25,51047292,49612,15618
168,33.3,19.4,0.123822999,0.064024887,75925.25,51047292,49612,15618
87,32.2,9.4,0.123822999,0.064024887,75925.25,51047292,49612,15618
